Customer ID,Email,Prefix,Name,Birth Date,Phone Number,Zip Code,City,State,Market Tag
1111,rsandoval@email.com,Dr.,Regina Sandoval,14-08-1978,+44(0)161 496 0989,77243,Annview,Idaho,event
1112,malvarez@email.com,Mr.,Michael Alvarez,03-04-1996,+44115 4960534,99456,North Robin,North Dakota,website
1113,jreese@email.com,Mrs.,Jacqueline Reese,20-08-1971,+44141 4960526,98778,West Tyler,Mississippi,in-store
1114,dbecker@email.com,Mx.,Dustin Becker,07-06-1998,+44(0)1914960842,28096,North Matthewside,Ohio,event
1115,hwilliams@email.com,Dr.,Heather Williams,03-06-1975,020 74960975,96562,Nataliehaven,Hawaii,website
1116,lgaines@email.com,Mx.,Lori Gaines,22-05-1985,+4420 74960218,84082,West Michaeltown,South Dakota,in-store
1117,ccook@email.com,Mx.,Chase Cook,09-10-1970,(0114) 496 0427,87410,New Eric,South Dakota,event
1118,dgriffin@email.com,Mr.,Dylan Griffin,30-03-1975,(01632) 960 839,55532,Ryanside,Tennessee,website
1119,tjackson@email.com,Mr.,Taylor Jackson,31-10-1987,(0113) 496 0856,55561,Marshland,Alabama,in-store
1120,dbates@email.com,Dr.,Denise Bates,11-11-1994,01914960354,68782,New Ashley,Wisconsin,event
1121,wphillips@email.com,Mr.,Wesley Phillips,26-04-1996,+44(0)1154960238,94394,Cynthiamouth,Hawaii,website
1122,tchang@email.com,Dr.,Traci Chang,23-09-1973,+44(0)28 9018 0968,65770,Goldenstad,South Carolina,in-store
1123,cwilson@email.com,Mr.,Connie Wilson,06-10-1974,(0151)4960340,15817,Tiffanyland,Utah,event
1124,hdelacruz@email.com,Mx.,Hector Delacruz,05-12-1988,+441314960646,41236,Port Valerieborough,Minnesota,website
1125,jjackson@email.com,Miss,Joshua Jackson,20-04-1973,+44121 496 0520,74644,South Danielle,Colorado,in-store
1126,gbrewer@email.com,Miss,Glen Brewer,06-09-1976,(0306) 999 0696,14909,New Michaelchester,Maine,event
1127,tguerrero@email.com,Dr.,Tiffany Guerrero,21-05-1998,+44(0)151 496 0861,16146,Port Angela,Virginia,website
1128,jsims@email.com,Mr.,Joseph Sims,07-12-1996,028 9018487,46054,East Kelsey,Tennessee,in-store
1129,cclark@email.com,Mr.,Cindy Clark,18-05-1974,(0113) 496 0752,74213,Sandrashire,Arizona,event
1130,jholland@email.com,Mr.,James Holland,23-08-1982,(0151) 4960457,23823,Craigborough,Vermont,website
1131,dchristian@email.com,Dr.,David Christian,01-09-1972,+44151 496 0096,39330,Codyberg,Michigan,in-store
1132,lfletcher@email.com,Misc.,Logan Fletcher,20-11-1976,+44161 4960703,47000,Kingmouth,Texas,event
